"academic_year","time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","new_la_code","la_name","old_la_code","school_type","num_schools","enrolments","present_sessions","overall_attendance","approved_educational_activity","overall_absence","authorised_absence","unauthorised_absence","late_sessions","possible_sessions","reason_present_am","reason_present_pm","reason_present","reason_l_present_late_before_registers_closed","reason_i_authorised_illness","reason_m_authorised_medical_dental","reason_r_authorised_religious_observance","reason_s_authorised_study_leave","reason_t_authorised_mobile_child","reason_h_authorised_holiday","reason_e_authorised_excluded","reason_c_authorised_other","reason_c1_authorised_regulated_performance","reason_j1_authorised_interview","reason_c2_authorised_temp_reduced_timetable","reason_b_aea_education_off_site","reason_j_aea_interview","reason_p_aea_approved_sporting_activity","reason_v_aea_educational_visit_trip","reason_w_aea_work_experience","reason_k_aea_education_arranged_by_la","reason_g_unauthorised_holiday","reason_u_unauthorised_late_after_registers_closed","reason_o_other_unauthorised","reason_n_no_reason_yet","total_num_schools","total_enrolments","attendance_perc","overall_absence_perc","authorised_absence_perc","unauthorised_absence_perc","illness_perc","appointments_perc","unauth_hol_perc","unauth_oth_perc","unauth_late_registers_closed_perc","unauth_not_yet_perc","auth_religious_perc","auth_study_perc","auth_mob_perc","auth_excluded_perc","auth_performance_perc","auth_interview_perc","auth_part_time_perc","auth_other_perc","pa_perc"
"202425","202425","Summer term","Local authority","E92000001","England","E12000008","South East","E10000014","Hampshire","850","Primary",416.275862068966,"87153.6724137931","9407760","9598859","191099","469399","336525","132874","85580","10068258","4664137","4673245","9337382","70378","227847","25969","2750","27","4444","7","2283","43594","290","3312","26002","49075","0","12277","128261","8","1478","69909","15202","41849","5914",422,"103310","95.3378330193763","4.66216698062366","3.34243520577244","1.31973177485122","2.26302305721605","0.257929425328592","0.69435050234112","0.415652836866119","0.150989376712436","0.0587390589315451","0.0273135630811209","0.000268169528432823","0.0441387179390913","0.0226752234597087","0.00288033937946366","0.0328954621544263","0.258257188085566","0.432984534166685","14.9883689719961"
"202425","202425","Summer term","Local authority","E92000001","England","E12000008","South East","E06000045","Southampton","852","Primary",53.5,"16095.6379310345","1700610","1732675","32065","111645","68510","43135","27128","1844320","831914","846737","1678651","21959","47615","4413","2907","0","952","0","884","6793","51","190","4705","7945","0","2110","21583","0","427","15087","5169","22226","653",54,"19271","93.946549405743","6.05345059425696","3.71464821722911","2.33880237702785","2.58171033226338","0.239275180012145","0.818025071571094","1.205105404702","0.280265897458142","0.035406003296608","0.157619068274486","0","0.051617940487551","0.0479309447384402","0.00276524681183309","0.0103018998872213","0.255107573523033","0.368320031231023","20.6833323146507"
"202425","202425","Summer term","Local authority","E92000001","England","E12000002","North West","E06000007","Warrington","877","Primary",66.1379310344828,"14643.3275862069","1528905","1560564","31659","69072","40659","28413","19268","1629636","750703","761543","1512246","16659","30494","4340","329","1","222","0","367","4154","10","199","543","8034","0","1580","21545","1","499","18081","2609","7104","619",69,"17570","95.7615074777435","4.2384925222565","2.49497433782759","1.74351818442892","1.87121541252157","0.266317140760268","1.10951157190931","0.435925568654595","0.160097101438603","0.0379839424264069","0.02018855744473","6.1363396488541e-05","0.0136226740204561","0.0225203665112945","0.00061363396488541","0.0122113159012197","0.0333203242932778","0.254903549013399","15.2774159937484"
"202425","202425","Summer term","Local authority","E92000001","England","E12000009","South West","E06000066","Somerset","933","Primary",215.931034482759,"31980.3103448276","3369463","3440570","71107","197513","129742","67771","39467","3638083","1665837","1672391","3338228","31235","92481","10506","665","2","832","0","1356","14875","176","1051","7798","15840","0","5242","49483","3","539","29371","8232","26533","3635",219,"38186","94.570959486081","5.42904051391901","3.56621880259466","1.86282171132434","2.5420255667614","0.288778458325442","0.807320778552881","0.72931266274024","0.226273012462882","0.0999152575683403","0.0182788572992975","5.49740069151803e-05","0.022869186876715","0.0372723766884923","0.00483771260853587","0.0288888406339273","0.214343652962288","0.408869176431654","18.2757114328507"
"202425","202425","Summer term","Local authority","E92000001","England","E12000007","London","E09000021","Kingston upon Thames","314","Primary",34.9137931034483,"11237.3965517241","1107025","1136198","29173","55552","36172","19380","18537","1191750","540286","549977","1090263","16762","23505","3183","2010","9","85","0","169","4013","89","1570","1539","4835","0","2909","20256","0","1173","6946","1775","9763","896",35,"12957","95.3386196769457","4.66138032305433","3.03520033564086","1.62617998741347","1.97230962869729","0.267086217747011","0.582840360813929","0.819215439479757","0.148940633522131","0.0751835535976505","0.168659534298301","0.000755191944619257","0.00713236836584854","0.0141808265156283","0.00746800923012377","0.131739039228026","0.129137822529893","0.33673169708412","14.5406125166445"
"202425","202425","Summer term","Local authority","E92000001","England","E12000002","North West","E08000006","Salford","355","Primary",74.6206896551724,"19339.1379310345","1879584","1913546","33962","116796","63345","53451","37035","2030342","912809","935270","1848079","31505","44208","5163","2467","3","1000","0","711","6090","120","455","3128","11539","0","2408","19603","1","411","22781","5530","23680","1460",76,"22825","94.2474716082315","5.75252839176848","3.11991772814629","2.63261066362219","2.17736716277356","0.254292134034562","1.12202771749784","1.16630597209731","0.272367906490631","0.0719090675364052","0.121506623022131","0.000147758357951518","0.0492527859838392","0.0350187308345097","0.0059103343180607","0.0224100176226468","0.154062714557449","0.299949466641581","20.7473162675475"
"202425","202425","Summer term","Local authority","E92000001","England","E12000007","London","E09000008","Croydon","306","Primary",83.8275862068966,"26221.275862069","2710716","2758933","48217","158215","103423","54792","50754","2917148","1316879","1348896","2665775","44941","69721","7914","7292","2","3","56","651","11386","98","4258","2042","5297","0","3398","39426","3","93","14656","5813","31521","2802",86,"31553","94.5763807664198","5.42361923358019","3.54534634512887","1.87827288845132","2.39003986085039","0.271292371864575","0.502408516811626","1.08054167975022","0.199269971904065","0.0960527199854104","0.249970176350326","6.85601141937262e-05","0.000102840171290589","0.0223163171700579","0.00335944559549258","0.145964483118443","0.0699998765917944","0.390312730104883","19.0210903302825"
"202425","202425","Summer term","Local authority","E92000001","England","E12000002","North West","E08000013","St. Helens","342","Primary",53.4827586206897,"12130.2586206897","1280315","1304336","24021","72804","40187","32617","21432","1377140","625412","636111","1261523","18792","30257","3666","403","0","249","5","452","3882","38","30","1205","7775","0","1317","14400","5","524","15669","2640","13379","929",54,"15150","94.7133915215592","5.28660847844083","2.91814920777844","2.36845927066239","2.19708962051789","0.266203871792265","1.13779281699755","0.97150616495055","0.191701642534528","0.0674586461797639","0.0292635461899299","0","0.0180809503754157","0.0328216448581844","0.00275934182436063","0.00217842775607418","0.0875001815356463","0.281888551635999","19.6581863586702"
"202425","202425","Summer term","Local authority","E92000001","England","E12000007","London","E09000017","Hillingdon","312","Primary",66.8448275862069,"23656.6551724138","2355644","2399484","43840","144521","98890","45631","39809","2544005","1149837","1170983","2320820","34824","70126","6678","8580","9","689","0","442","10638","144","390","1194","4786","0","3676","35328","0","50","10820","4985","26872","2954",67,"28505","94.3191542469453","5.68084575305473","3.88717789469753","1.7936678583572","2.75651973954454","0.262499484081203","0.425313629493653","1.05628723213987","0.195950872738065","0.116116123985605","0.337263488082767","0.000353772889597308","0.0270832801036161","0.0173741796891122","0.00566036623355693","0.0153301585492167","0.0469338700199095","0.418159555504018","18.8767619636781"
"202425","202425","Summer term","Local authority","E92000001","England","E12000009","South West","E06000052","Cornwall","908","Primary",232.568965517241,"33271.7413793103","3505787","3615881","110094","196406","135186","61220","38121","3812287","1736189","1737439","3473628","32159","96268","12016","453","0","223","0","1670","15452","31","625","8448","19101","0","7622","82609","4","758","27576","5962","23729","3953",235,"40877","94.8480793812218","5.15192061877818","3.54606040940779","1.60586020937039","2.52520337529677","0.315191379872502","0.723345330506334","0.622434774716594","0.156389065146459","0.103691039000999","0.0118826310820775","0","0.00584950713311983","0.0438057260641709","0.00081316018442473","0.0163943585569502","0.221599265742584","0.405321005475191","18.841750064892"
