"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","new_la_code","la_name","old_la_code","attendance_date","school_type","num_schools","enrolments","present_sessions","overall_attendance","approved_educational_activity","overall_absence","authorised_absence","unauthorised_absence","late_sessions","possible_sessions","reason_present_am","reason_present_pm","reason_present","reason_l_present_late_before_registers_closed","reason_i_authorised_illness","reason_m_authorised_medical_dental","reason_r_authorised_religious_observance","reason_s_authorised_study_leave","reason_t_authorised_grt_absence","reason_h_authorised_holiday","reason_e_authorised_excluded","reason_c_authorised_other","reason_b_aea_education_off_site","reason_d_aea_dual_registration","reason_j_aea_interview","reason_p_aea_approved_sporting_activity","reason_v_aea_educational_visit_trip","reason_w_aea_work_experience","reason_g_unauthorised_holiday","reason_u_unauthorised_late_after_registers_closed","reason_o_other_unauthorised","reason_n_no_reason_yet","reason_x_not_attending_covid_non_compulsory","total_num_schools","total_enrolments","attendance_perc","overall_absence_perc","authorised_absence_perc","unauthorised_absence_perc","illness_perc","appointments_perc","unauth_hol_perc","unauth_oth_perc","unauth_late_registers_closed_perc","unauth_not_yet_perc","auth_religious_perc","auth_study_perc","auth_grt_perc","auth_holiday_perc","auth_excluded_perc","auth_other_perc","covid_non_compulsory_perc"
2022,"Week 38","Local authority","E92000001","England","E12000009","South West","E06000025","South Gloucestershire","803",2022-09-22,"Special",1,89,158,158,0,20,14,6,0,178,79,79,158,0,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,5,565,"88.7640449438202","11.2359550561798","7.86516853932584","3.37078651685393","6.74157303370786","0.561797752808989","0","3.37078651685393","0","0","0","0","0","0","0.561797752808989","0","0"
2022,"Week 38","Local authority","E92000001","England","E12000007","London","E09000025","Newham","316",2022-09-22,"Special",1,63,95,97,2,29,17,12,7,126,41,47,88,7,10,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,12,0,0,2,197,"76.984126984127","23.015873015873","13.4920634920635","9.52380952380952","7.93650793650794","0","0","9.52380952380952","0","0","0","0","0","0","0","5.55555555555556","0"
2022,"Week 38","Regional","E92000001","England","E12000002","North West","","","z",2022-09-22,"Special",112,13550,23277,23697,420,2939,2218,721,212,26636,11570,11547,23117,160,1216,239,2,0,2,96,39,606,301,43,0,9,103,7,100,52,529,40,18,172,21939,"88.9660609701156","11.0339390298844","8.32707613755819","2.70686289232618","4.56525003754317","0.897281874155278","0.375431746508485","1.98603393902988","0.195224508184412","0.150172698603394","0.00750863493016969","0","0.00750863493016969","0.360414476648145","0.146418381138309","2.27511638384142","0.0675777143715273"
2022,"Week 38","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","z",2022-09-22,"Special",55,7495,12898,13120,222,1664,1309,355,97,14784,6413,6414,12827,71,815,163,0,0,2,46,6,267,182,10,0,0,40,0,72,26,245,12,10,84,12326,"88.7445887445888","11.2554112554113","8.85416666666667","2.40124458874459","5.51271645021645","1.10254329004329","0.487012987012987","1.65719696969697","0.175865800865801","0.0811688311688312","0","0","0.0135281385281385","0.311147186147186","0.0405844155844156","1.80600649350649","0.0676406926406926"
2022,"Week 38","Regional","E92000001","England","E12000009","South West","","","z",2022-09-22,"Special",52,6055,9959,10185,226,1658,1303,355,79,11843,4969,4924,9893,66,737,102,0,0,0,54,32,366,167,22,0,6,51,2,30,13,270,42,12,92,11809,"86.0001688761294","13.9998311238706","11.0022798277463","2.99755129612429","6.22308536688339","0.861268259731487","0.253314194038673","2.27982774634805","0.109769484083425","0.354639871654142","0","0","0","0.455965549269611","0.270201806974584","3.09043316727181","0.101325677615469"
2022,"Week 38","Regional","E92000001","England","E12000007","London","","","z",2022-09-22,"Special",84,9673,16343,16657,314,2219,1726,493,235,18876,7993,8147,16140,203,1007,197,0,0,2,24,9,442,295,9,1,0,16,2,28,32,366,67,45,158,20536,"88.2443314261496","11.7556685738504","9.14388641661369","2.6117821572367","5.33481669845306","1.04365331638059","0.148336511972876","1.9389701207883","0.169527442254715","0.354948082220809","0","0","0.0105954651409197","0.127145581691036","0.0476795931341386","2.34159779614325","0.238397965670693"
2022,"Week 38","Regional","E92000001","England","E12000005","West Midlands","","","z",2022-09-22,"Special",71,9153,15988,16090,102,2084,1613,471,160,18174,8402,7473,15875,113,1070,130,0,0,0,40,49,320,92,6,0,3,3,4,84,47,317,23,4,123,18149,"88.5330692197645","11.4669307802355","8.875316386046","2.5916143941895","5.8875316386046","0.715307582260372","0.462198745460548","1.74425002751183","0.258611202817211","0.126554418399912","0","0","0","0.220094640695499","0.269615934851986","1.76075712556399","0.0220094640695499"
2022,"Week 38","Regional","E92000001","England","E12000001","North East","","","z",2022-09-22,"Special",31,4026,7131,7213,82,799,607,192,31,8012,3554,3554,7108,23,417,66,0,0,0,32,9,83,58,10,0,0,24,0,41,8,130,13,0,80,10950,"90.0274588117823","9.97254118821767","7.57613579630554","2.39640539191213","5.20469296055916","0.823764353469795","0.511732401397903","1.62256615077384","0.0998502246630055","0.162256615077384","0","0","0","0.399400898652022","0.112331502745881","1.03594608087868","0"
2022,"Week 38","Regional","E92000001","England","E12000004","East Midlands","","","z",2022-09-22,"Special",52,6088,10357,10471,114,1410,1136,274,38,11881,5231,5095,10326,31,608,109,0,0,0,42,12,361,70,19,0,0,44,0,57,7,194,16,4,87,11219,"88.1323120949415","11.8676879050585","9.56148472350812","2.30620318155037","5.11741435906069","0.917431192660551","0.479757596161939","1.63285918693713","0.0589175995286592","0.13466879892265","0","0","0","0.353505597171955","0.101001599191987","3.03846477569228","0.0336671997306624"
2022,"Week 38","Regional","E92000001","England","E12000008","South East","","","z",2022-09-22,"Special",93,13159,21994,22536,542,2906,2248,658,186,25442,10946,10891,21837,157,1332,199,0,0,0,103,50,539,421,32,0,9,102,10,50,29,516,63,25,192,26929,"88.577941985693","11.4220580143071","8.83578335036554","2.58627466394151","5.23543746560805","0.782171212954956","0.196525430390693","2.02814244163195","0.113984749626602","0.247622042292273","0","0","0","0.404842386604827","0.196525430390693","2.11854413961167","0.0982627151953463"
