geographic_level,region_code,region_name,new_la_code,la_name,old_la_code,school_type,num_schools,ytd_enrolments,pa_flag
Local authority,E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,812,Special,2,315,86
Local authority,E12000002,North West,E06000007,Warrington,877,Secondary,12,11826,2764
Local authority,E12000002,North West,E10000017,Lancashire,888,Special,23,2566,804
Local authority,E12000004,East Midlands,E06000015,Derby,831,PRU/Academy/Free school AP,3,349,300
Local authority,E12000007,London,E09000028,Southwark,210,PRU/Academy/Free school AP,1,81,61
Local authority,E12000002,North West,E06000008,Blackburn with Darwen,889,PRU/Academy/Free school AP,2,359,301
Local authority,E12000008,South East,E10000011,East Sussex,845,Special,12,1262,455
Local authority,E12000006,East of England,E06000056,Central Bedfordshire,823,Special,4,535,213
Local authority,E12000007,London,E09000002,Barking and Dagenham,301,Secondary,10,13617,3290
Local authority,E12000003,Yorkshire and The Humber,E08000019,Sheffield,373,Special,10,1253,459
